,nombre,domicilio,alcaldia,latitud,longitud,Colonia name,nivel escolar
98,Preescolar General - Maria Lavalle Urbina,"Rio Churubusco Y Sur 8 S/N, Cuchilla Agricola Oriental, Delegacion Iztacalco, Mexico Df.",Iztacalco,19.40142980084,-99.08121646514,Agricola Oriental I,Preescolar
99,Preescolar - Ignacio Ramirez,"Avenida Rio Consulado 2874, Pensador Mexicano, Delegacion Venustiano Carranza, Mexico Df.",Venustiano Carranza,19.44380800012,-99.08606100002,Pensador Mexicano I,Preescolar
100,Escuela Secundaria Tecnica 7,"Ferrocarril De Cintura Num 85, Morelos, Delegacion Venustiano Carranza, Mexico Df.",Venustiano Carranza,19.43841299998,-99.12108700017,Penitenciaria (Ampl),Secundaria
101,Secundaria General - Ocelotl,"Prol 2 De Abril, Pueblo Santa Cruz Acalpixca, Delegacion Xochimilco, Mexico Df.",Xochimilco,19.24321498956,-99.07152660355,Santa Cruz Acalpixca (Pblo),Secundaria
102,Primaria General - Chipre,"Prolg Canarias No 53, San Simon Ticuman, Delegacion Benito Juarez, Mexico Df..",Benito Juárez,19.37429200028911,-99.14595500019892,San Simon Ticumac,Primaria
103,Secundaria General - Silvestre Revueltas,"Villa Cuauhtemoc Y Villa Motolin, Villa De Aragon, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.46636543083,-99.05953489585,Villa De Aragon (Fracc),Secundaria
104,Preescolar General - Manuel Eduardo De Gorostiza,"Granjas No 39, Lomas De Palo Alto, Delegacion Cuajimalpa De Morelos, Mexico Df.",Cuajimalpa de Morelos,19.38227800003261,-99.25504700005168,Palo Alto (Granjas),Preescolar
105,Primaria General - Profr. Rafael Molina Betancourt,"Plan De Ayutla Y Bandera, Ticoman, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.51523538221,-99.13641347646,La Purisima Ticoman (Barr),Primaria
106,Preescolar General - La Pastora,"Cuauhtemoc Y Moctezuma, La Pastora, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.52374199496,-99.13728835152,La Pastora,Preescolar
107,"Intervencion Temprana, Preescolar, Primaria Y Capacitacion Laboral Especial - Centro De Atencion Multiple 55  M","Iris S/N, Jardines De Coyoacan, Delegacion Coyoacan, Mexico Df.",Coyoacán,19.313408999971,-99.1262960001409,Jardines De Coyoacan (Fracc),Primaria
108,Primaria General - Carmen Serdan Alatriste,"Calz De Tlalpan No 1728, Country Club Churubusco, Delegacion Coyoacan, Mexico Df.",Coyoacán,19.35391899986269,-99.14439699978982,Country Club,Primaria
109,Preescolar General - Dolores Guerrero,"Belisario Dominguez Y Av Mexico, Coyoacan, Delegacion Coyoacan, Mexico Df.",Coyoacán,19.35115900471666,-99.1649691853832,Del Carmen,Preescolar
112,Primaria General - Vicente Guerrero,"Mina No 5, Pueblo San Mateo Tlaltenango, Delegacion Cuajimalpa De Morelos, Mexico Df.",Cuajimalpa de Morelos,19.34257000006414,-99.28254800008784,San Mateo Tlaltenango (Pblo),Primaria
