_id,expediente,pueblo,scall_col,territorial,fecha_instalacion,capacidad,alcaldia,colonia_datos,latitud,longitud
12134,387-MARITL-XOO-22,PBO. SANTIAGO TUYLYEHUALCO,GUADALUPITA O BO LA LUPITA (TULYEHUALCO),NO APLICA,2022-10-12T00:00:00,2500,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),19.255222,-99.01323
12135,1419-SOCAMO-TLC-22,NO APLICA,LA ESTACION,NO APLICA,2022-10-25T00:00:00,2500,TLAHUAC,LA ESTACION,19.30849,-99.044184
12136,8851-LAMUGU-MIA-22,VILLA MILPA ALTA,BARRIO LOS ANGELES,NO APLICA,2022-09-29T00:00:00,1100,MILPA ALTA,VILLA MILPA ALTA (PBLO),19.183511,-99.025183
12137,8852-ALGRJO-MIA-22,SAN PABLO OZTOTEPEC,BARRIO SAN JUAN,NO APLICA,2022-09-29T00:00:00,2500,NA,NA,19.184954,-99.066083
12138,1420-CANEGR-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SELENE,NO APLICA,2022-10-06T00:00:00,1100,TLAHUAC,SELENE 1a SECC,19.29105,-99.002047
12139,8853-BABAYA-MIA-22,VILLA MILPA ALTA,BARRIO SAN AGUSTIN,NO APLICA,2022-10-11T00:00:00,2500,MILPA ALTA,VILLA MILPA ALTA (PBLO),19.184272,-99.016209
12140,8854-CRMOES-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,NO APLICA,NO APLICA,2022-09-28T00:00:00,1100,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.190999,-99.091315
12141,8855-FLLOVI-MIA-22,PUEBLO SAN JUAN TEPENAHUAC,NO APLICA,NO APLICA,2022-11-16T00:00:00,2500,MILPA ALTA,SAN JUAN TEPENAHUAC (PBLO),19.191175,-98.997371
12142,8856-TOROOL-MIA-22,PUEBLO SAN BARTOLOME XICOMULCO,NO APLICA,NO APLICA,2022-10-03T00:00:00,2500,MILPA ALTA,SAN BARTOLOME XICOMULCO (PBLO),19.20568,-99.068538
12143,1422-MAMAMA-TLC-22,SAN JUAN IXTAYOPAN,JAIME TORRES BODET,NO APLICA,2022-10-12T00:00:00,2500,TLAHUAC,JAIME TORRES BODET,19.231225,-98.999673
12144,1453-GOGAEV-IZA-22,NO APLICA,AMPLIACION EMILIANO ZAPATA,TEOTONGO ACAHUALTEPC,2022-10-11T00:00:00,1100,IZTAPALAPA,EMILIANO ZAPATA (AMPL),19.341291,-98.9789
