"long","lat","Expediente","Pueblo","Colonia_Ba","Territoria","Alcaldia","Fecha_de_I","Instalado"
-99.048123,19.329691,"2522-LOVARA-IZA-20","NO APLICA","CARLOS HANK GONZALEZ","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-10-02,"Programa SCALL"
-99.072074,19.291541,"2523-ORMERO-IZA-20","NO APLICA","CELOALLIOTLI (U HAB)","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-31,"Programa SCALL"
-99.101617,19.335318,"2525-SAGACE-IZA-20","NO APLICA","BARRIO SAN SIMON CULHUACAN","LOS CULHUACANES","IZTAPALAPA",2020-10-08,"Programa SCALL"
-99.012672,19.333022,"2526-ZAMAFE-IZA-20","NO APLICA","LOMAS DE LA ESTANCIA","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-11-17,"Programa SCALL"
-99.005697,19.358949,"2527-PEHEEL-IZA-20","NO APLICA","SANTA MARTHA ACATITLA","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-10-14,"Programa SCALL"
-99.008383,19.358537,"2529-SAPAMA-IZA-20","NO APLICA","SANTA MARTHA ACATITLA","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-11-10,"Programa SCALL"
-99.008543,19.357979,"2530-SALUBA-IZA-20","NO APLICA","SANTA MARTHA ACATITLA","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-11-05,"Programa SCALL"
-99.024983,19.32967,"2532-ESUBRA-IZA-20","NO APLICA","TENORIOS","SANTA CATARINA","IZTAPALAPA",2020-11-23,"Programa SCALL"
-99.033015,19.335043,"2534-NACOCA-IZA-20","NO APLICA","REFORMA POLITICA","SANTA CATARINA","IZTAPALAPA",2020-11-17,"Programa SCALL"
-99.053175,19.322347,"2535-DELOMA-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-10-06,"Programa SCALL"
-99.053171,19.322347,"2536-REJIMO-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-10-12,"Programa SCALL"
-99.053315,19.322553,"2537-JIHEMA-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-10-02,"Programa SCALL"
-99.06531,19.289589,"2538-SIHEGI-IZA-20","NO APLICA","CANANEA","SAN LORENZO TEZONCO","IZTAPALAPA",2020-09-28,"Programa SCALL"
-99.069196,19.31869,"2539-ARGOJO-IZA-20","NO APLICA","LOMAS DE SAN LORENZO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-14,"Programa SCALL"
-99.036897,19.320907,"2542-SADEMI-IZA-20","NO APLICA","DESARROLLO URBANO QUETZALCOATL","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-10-31,"Programa SCALL"
-99.021544,19.36865,"2543-DEMAFR-IZA-20","NO APLICA","SANTA MARTHA ACATITLA SUR","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-10-10,"Programa SCALL"
-99.021544,19.36865,"2544-MEROAD-IZA-20","NO APLICA","SANTA MARTHA ACATITLA SUR","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-10-10,"Programa SCALL"
-99.072013,19.288412,"2547-DOOCMA-IZA-20","NO APLICA","CELOALLIOTLI (U HAB)","SAN LORENZO TEZONCO","IZTAPALAPA",2020-11-12,"Programa SCALL"
-99.056491,19.321756,"2548-GOCRMA-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-11-06,"Programa SCALL"
-99.08227,19.304028,"2549-SOSIJA-IZA-20","NO APLICA","JOSE LOPEZ PORTILLO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-09-28,"Programa SCALL"
-98.968026,19.329049,"2554-VAGOMA-IZA-20","NO APLICA","SAN FRANCISCO APOLOCALCO","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-10-14,"Programa SCALL"
-99.062304,19.29318,"2559-HEESRA-IZA-20","NO APLICA","LA PLANTA","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-02,"Programa SCALL"
-99.029072,19.332367,"2560-HENIAL-IZA-20","NO APLICA","BUENAVISTA","SANTA CATARINA","IZTAPALAPA",2020-10-13,"Programa SCALL"
-98.969049,19.325093,"2561-MOPEMA-IZA-20","NO APLICA","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-10-07,"Programa SCALL"
-99.058836,19.325594,"2563-SEOCMA-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-10-15,"Programa SCALL"
-99.024596,19.374222,"2564-GUHAOS-IZA-20","NO APLICA","SANTA MARTHA ACATITLA","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-10-24,"Programa SCALL"
-99.074087,19.303636,"2565-VIMAJO-IZA-20","NO APLICA","BARRIO SAN ANTONIO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-15,"Programa SCALL"
-99.01406,19.32859,"2566-NAMERU-IZA-20","NO APLICA","XALPA","SANTA CATARINA","IZTAPALAPA",2020-11-13,"Programa SCALL"
-99.061154,19.320653,"2567-HESAAD-IZA-20","NO APLICA","LOMAS DE SAN LORENZO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-11-07,"Programa SCALL"
-98.968687,19.325876,"2569-MALOEF-IZA-20","NO APLICA","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-10-07,"Programa SCALL"
-99.03789,19.360214,"2571-OLSEAN-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-10-28,"Programa SCALL"
-99.063604,19.379808,"2572-SAGOHE-IZA-20","NO APLICA","LEYES DE REFORMA 3ERA SECCION","LEYES DE REFORMA","IZTAPALAPA",2020-10-03,"Programa SCALL"
-99.063793,19.320349,"2574-MEGOSI-IZA-20","NO APLICA","LOMAS DE SAN LORENZO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-10-15,"Programa SCALL"
-99.037889,19.360223,"2575-OLSEMA-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-10-10,"Programa SCALL"
-98.983472,19.338413,"2577-GORUMA-IZA-20","NO APLICA","AMPLIACION EMILIANO ZAPATA","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-10-14,"Programa SCALL"
-99.048715,19.325916,"2581-PIZAPO-IZA-20","NO APLICA","MIXCOATL","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-11-20,"Programa SCALL"
-99.006478,19.335676,"2582-DIDOLI-IZA-20","NO APLICA","LOMAS DE LA ESTANCIA","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-11-02,"Programa SCALL"
-99.007528,19.344434,"2584-GUSARO-IZA-20","NO APLICA","SANTIAGO ACAHUALTEPEC 2A AMP.","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-11-19,"Programa SCALL"
-99.063492,19.317814,"2585-LOSAAL-IZA-20","NO APLICA","LOMAS DE SAN LORENZO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-09-26,"Programa SCALL"
-99.064356,19.379053,"2586-ESGOJU-IZA-20","NO APLICA","LEYES DE REFORMA 3ERA SECCION","LEYES DE REFORMA","IZTAPALAPA",2020-10-23,"Programa SCALL"
-99.066283,19.290056,"2587-BLGOGR-IZA-20","NO APLICA","CELOALLIOTLI (U HAB)","SAN LORENZO TEZONCO","IZTAPALAPA",2020-09-25,"Programa SCALL"
