alcaldia,latitud,longitud,alcaldia_id,año
Tlalpan,19.253844,-99.166864,12,2022
Tlalpan,19.217178,-99.207611,12,2022
Tlalpan,19.196674,-99.140161,12,2022
Tlalpan,19.229931,-99.199377,12,2022
Tlalpan,19.202329,-99.145832,12,2022
Tlalpan,19.248165,-99.170921,12,2022
Tlalpan,19.226276,-99.203151,12,2022
Xochimilco,19.24868,-99.02219,13,2022
Iztapalapa,19.348288,-99.03994,7,2022
Xochimilco,19.24894,-99.024492,13,2022
Iztapalapa,19.342537,-99.03658,7,2022
Gustavo A. Madero,19.458857,-99.087555,5,2022
Tlalpan,19.227775,-99.19988,12,2022
Milpa Alta,19.202157,-99.051292,9,2022
Milpa Alta,19.202029,-99.050692,9,2022
Milpa Alta,19.201367,-99.050872,9,2022
Iztapalapa,19.341872,-98.994069,7,2022
Milpa Alta,19.200808,-99.054864,9,2022
Xochimilco,19.248876,-99.044885,13,2022
Tlalpan,19.23173,-99.1761,12,2022
Milpa Alta,19.203155,-99.048757,9,2022
Iztapalapa,19.35409,-99.021223,7,2022
Milpa Alta,19.201304,-99.051064,9,2022
Xochimilco,19.246627,-99.02546,13,2022
Milpa Alta,19.19898,-99.048613,9,2022
Tlalpan,19.239989,-99.179728,12,2022
Milpa Alta,19.199796,-99.049359,9,2022
Milpa Alta,19.224267,-98.995874,9,2022
Xochimilco,19.245827,-99.014958,13,2022
Milpa Alta,19.201541,-99.047905,9,2022
Xochimilco,19.254301,-99.030148,13,2022
Milpa Alta,19.199336,-99.048117,9,2022
Milpa Alta,19.199428,-99.048226,9,2022
Milpa Alta,19.19725,-99.093286,9,2022
Milpa Alta,19.199428,-99.048226,9,2022
Milpa Alta,19.188933,-99.092899,9,2022
Tlalpan,19.203162,-99.143959,12,2022
Milpa Alta,19.201265,-99.048457,9,2022
Milpa Alta,19.188314,-99.094337,9,2022
Tlalpan,19.224774,-99.202676,12,2022
Milpa Alta,19.200588,-99.052259,9,2022
Milpa Alta,19.200588,-99.052259,9,2022
Milpa Alta,19.201337,-99.051013,9,2022
Milpa Alta,19.19051,-99.049124,9,2022
Tlalpan,19.234957,-99.162469,12,2022
Milpa Alta,19.190483,-99.048904,9,2022
Tlalpan,19.273195,-99.240807,12,2022
Iztapalapa,19.363267,-99.038105,7,2022
Milpa Alta,19.200636,-99.055444,9,2022
Milpa Alta,19.190575,-99.050261,9,2022
Iztapalapa,19.353548,-99.022286,7,2022
Milpa Alta,19.195726,-99.049248,9,2022
Milpa Alta,19.201036,-99.047498,9,2022
Tlalpan,19.226353,-99.208398,12,2022
Milpa Alta,19.200867,-99.054645,9,2022
Milpa Alta,19.189065,-99.093047,9,2022
Iztapalapa,19.353227,-99.019817,7,2022
Milpa Alta,19.199526,-99.048097,9,2022
Iztapalapa,19.354296,-99.019707,7,2022
Milpa Alta,19.195988,-99.050107,9,2022
Milpa Alta,19.20489,-99.065197,9,2022
Iztapalapa,19.354344,-99.020993,7,2022
Tlalpan,19.265687,-99.203903,12,2022
Milpa Alta,19.199539,-99.055442,9,2022
Milpa Alta,19.193022,-99.050905,9,2022
Iztapalapa,19.344364,-99.005142,7,2022
Milpa Alta,19.200483,-99.055302,9,2022
Iztapalapa,19.352113,-99.026595,7,2022
Milpa Alta,19.201972,-99.052159,9,2022
Tlalpan,19.266856,-99.202251,12,2022
Iztapalapa,19.343137,-99.00363,7,2022
Milpa Alta,19.197161,-99.051849,9,2022
Milpa Alta,19.200867,-99.054645,9,2022
Iztapalapa,19.353952,-99.019723,7,2022
Milpa Alta,19.205046,-99.066672,9,2022
Milpa Alta,19.177226,-99.034974,9,2022
Milpa Alta,19.204795,-99.049431,9,2022
Tlalpan,19.22747,-99.200641,12,2022
Milpa Alta,19.202578,-99.046726,9,2022
Iztapalapa,19.353548,-99.022286,7,2022
Milpa Alta,19.175782,-98.995456,9,2022
Tlalpan,19.216973,-99.207753,12,2022
Iztapalapa,19.363405,-99.033968,7,2022
Milpa Alta,19.205805,-99.049826,9,2022
Milpa Alta,19.203001,-99.051266,9,2022
Tlalpan,19.241541,-99.160189,12,2022
Milpa Alta,19.179955,-99.003655,9,2022
Milpa Alta,19.179354,-98.999189,9,2022
Milpa Alta,19.202556,-99.051261,9,2022
Tlalpan,19.23082,-99.194731,12,2022
Milpa Alta,19.204236,-99.052747,9,2022
Tlalpan,19.2525,-99.162414,12,2022
Milpa Alta,19.180016,-99.0038,9,2022
Tlalpan,19.231975,-99.201786,12,2022
Milpa Alta,19.179627,-99.004196,9,2022
Milpa Alta,19.201381,-99.051587,9,2022
Milpa Alta,19.176391,-98.993577,9,2022
Tlalpan,19.241759,-99.176283,12,2022
Tlalpan,19.22134,-99.208877,12,2022
Tlalpan,19.215993,-99.209493,12,2022
Tlalpan,19.214875,-99.197594,12,2022
Tlalpan,19.239792,-99.163012,12,2022
Tlalpan,19.214786,-99.20739,12,2022
Tlalpan,19.21982,-99.195379,12,2022
Tlalpan,19.23495,-99.180152,12,2022
Tlalpan,19.200948,-99.145757,12,2022
Tlalpan,19.207342,-99.136667,12,2022
Tlalpan,19.252468,-99.17501,12,2022
Tlalpan,19.232218,-99.204311,12,2022
Tlalpan,19.231862,-99.205047,12,2022
Gustavo A. Madero,19.557705,-99.151237,5,2022
Gustavo A. Madero,19.448513,-99.055145,5,2022
Tlalpan,19.231324,-99.178138,12,2022
Tlalpan,19.233568,-99.179002,12,2022
Tlalpan,19.217084,-99.202361,12,2022
Tlalpan,19.230092,-99.177846,12,2022
Tlalpan,19.237986,-99.182452,12,2022
Tlalpan,19.217436,-99.20295,12,2022
Tlalpan,19.202149,-99.145595,12,2022
Tlalpan,19.216109,-99.205516,12,2022
Tlalpan,19.266245,-99.20143,12,2022
Tlalpan,19.217864,-99.209988,12,2022
Tlalpan,19.266253,-99.201449,12,2022
Tlalpan,19.230943,-99.19511,12,2022
Tlalpan,19.230695,-99.177045,12,2022
Tlalpan,19.227678,-99.198201,12,2022
Gustavo A. Madero,19.547295,-99.129433,5,2022
Tlalpan,19.224477,-99.197417,12,2022
Tlalpan,19.237946,-99.179204,12,2022
Iztapalapa,19.343173,-99.003622,7,2022
Iztapalapa,19.344545,-99.002967,7,2022
Iztapalapa,19.343552,-99.002724,7,2022
Iztapalapa,19.340922,-99.003005,7,2022
Milpa Alta,19.188383,-98.997144,9,2022
Iztapalapa,19.344425,-99.002697,7,2022
Iztapalapa,19.344076,-99.003013,7,2022
Iztapalapa,19.346806,-98.997436,7,2022
Iztapalapa,19.343744,-99.003766,7,2022
Tlalpan,19.226264,-99.206683,12,2022
Iztapalapa,19.343777,-99.00213,7,2022
Tlalpan,19.214657,-99.20627,12,2022
Iztapalapa,19.337783,-99.000603,7,2022
Tlalpan,19.230786,-99.195196,12,2022
Milpa Alta,19.174747,-99.035959,9,2022
Tlalpan,19.21314,-99.200085,12,2022
Iztapalapa,19.34126,-99.002673,7,2022
Milpa Alta,19.173092,-99.029833,9,2022
Iztapalapa,19.343818,-99.002169,7,2022
Iztapalapa,19.335717,-99.000499,7,2022
Tlalpan,19.213448,-99.199002,12,2022
