Alcaldia,Sexo,Grupos de edad,Poblacion,Sin Escolaridad,Preescolar,Primaria,Secundaria,Estudios técnicos con primaria,Estudios técnicos con secundaria,Prepa,Normal Basica,Estudios técnicos con prepa,Licenciatura,Posgrado,No especificado,alcaldia_id
La Magdalena Contreras,Mujeres,15-19 años,9304.0,29,4,279,3747,15,74,4660,0,72,372,0,52,008
La Magdalena Contreras,Mujeres,20-24 años,9901.0,44,4,308,2112,19,109,3795,0,221,3197,57,35,008
La Magdalena Contreras,Mujeres,25-29 años,10070.0,66,3,393,2384,21,128,3152,0,206,3417,280,20,008
La Magdalena Contreras,Mujeres,30-34 años,9287.0,69,2,536,2343,30,218,2575,0,304,2704,485,21,008
La Magdalena Contreras,Mujeres,35-39 años,9198.0,89,4,837,2562,32,274,2261,0,308,2337,470,24,008
La Magdalena Contreras,Mujeres,40-44 años,9538.0,122,13,1113,2773,26,367,2052,0,339,2189,526,18,008
La Magdalena Contreras,Mujeres,45-49 años,10030.0,156,10,1401,2968,42,505,1881,5,422,2119,486,35,008
La Magdalena Contreras,Mujeres,50-54 años,9319.0,200,17,1693,2702,54,570,1404,16,402,1836,417,8,008
La Magdalena Contreras,Mujeres,55-59 años,7496.0,222,16,2060,1773,59,452,933,17,301,1369,289,5,008
La Magdalena Contreras,Mujeres,60-64 años,6583.0,324,16,2339,1174,94,359,611,19,202,1127,310,8,008
La Magdalena Contreras,Mujeres,65-69 años,5213.0,408,21,2162,711,97,336,404,16,148,679,226,5,008
La Magdalena Contreras,Mujeres,70-74 años,3774.0,402,22,1747,382,83,201,225,14,109,448,140,1,008
La Magdalena Contreras,Mujeres,75-79 años,2583.0,368,22,1217,193,96,118,123,19,67,269,90,1,008
La Magdalena Contreras,Mujeres,80-84 años,1736.0,272,10,818,153,48,94,97,7,44,155,38,0,008
La Magdalena Contreras,Mujeres,85 años y más,1757.0,378,9,772,141,39,77,106,8,50,155,22,0,008
Miguel Hidalgo,Hombres,03-05 años,6789.0,1939,4754,0,0,0,0,0,0,0,0,0,96,016
Miguel Hidalgo,Hombres,06-09 años,8133.0,90,2162,5805,0,0,0,0,0,0,0,0,76,016
Miguel Hidalgo,Hombres,10-14 años,10998.0,28,221,6802,3876,5,0,0,0,0,0,0,66,016
Miguel Hidalgo,Hombres,15-19 años,11337.0,17,6,226,3912,9,26,6338,0,44,699,0,60,016
Miguel Hidalgo,Hombres,20-24 años,13256.0,31,6,166,1487,19,32,4921,0,142,6258,144,50,016
